name,display_name,image,parent_id,sort_index
childbirth,childbirth,https://images.unsplash.com/photo-1457954275879-87d67ee5507e?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
cognitive-behavioural-therapy,cognitive-behavioural-therapy,https://images.unsplash.com/photo-1527137342181-19aab11a8ee8?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
babies,babies,https://images.unsplash.com/photo-1529456589219-228196a9c50d?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
wounds,wounds,https://images.unsplash.com/photo-1585304794344-04fbadf546ef?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
asthma,asthma,https://images.unsplash.com/photo-1581578021450-fbd19fba0e63?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
newborn-healthcare,newborn-healthcare,https://images.unsplash.com/flagged/photo-1551049215-23fd6d2ac3f1?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
pharmacotherapeutics,pharmacotherapeutics,https://images.unsplash.com/source-404?fit=crop&fm=jpg&h=800&q=60&w=1200,,
tuberculosis,tuberculosis,https://images.unsplash.com/source-404?fit=crop&fm=jpg&h=800&q=60&w=1200,,
radiobiology,radiobiology,https://images.unsplash.com/source-404?fit=crop&fm=jpg&h=800&q=60&w=1200,,
linear-regression,linear-regression,https://images.unsplash.com/photo-1550951196-bafc03f134d8?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
prenatal-testing,prenatal-testing,https://images.unsplash.com/photo-1575468130766-fce03f7afaab?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
rings,rings,https://images.unsplash.com/photo-1507680576301-98c2029cf434?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
dna,dna,https://images.unsplash.com/photo-1583912086201-b6db267b43ff?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
statistical-inference,statistical-inference,https://images.unsplash.com/photo-1565292793248-f5c13612c48e?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
mathematical-modeling,mathematical-modeling,https://images.unsplash.com/photo-1571134298753-af0b53de79ca?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,mathematics,
nonlinear-dynamics,nonlinear-dynamics,https://images.unsplash.com/photo-1591737927087-24b61d41def5?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
pcos,pcos,https://images.unsplash.com/source-404?fit=crop&fm=jpg&h=800&q=60&w=1200,,
leishmaniasis,leishmaniasis,https://images.unsplash.com/source-404?fit=crop&fm=jpg&h=800&q=60&w=1200,,
