item_id,by,rating,blurb,url
7c20a9b1-d12f-4d11-9a74-461ebc9d7d95,Satya Nadella,,,
430186b8-15eb-4e6d-ad08-3fa25264b9ca,Satya Nadella,,,
6134d385-9b06-4178-beb5-d5978c7b158c,Satya Nadella,,,
b8751ee8-d979-498e-8a7b-c21594d04d52,Satya Nadella,,,
6aad9649-5af8-4bc3-8a19-d0cd2943faf7,Satya Nadella,,,
55907645-107a-4af4-afbb-32a658325d0d,Satya Nadella,,,
57d0b12d-84ad-4c25-876b-c238cf3a46f4,Satya Nadella,,,
702f9394-30e6-43c0-b077-1177a7e913d7,Satya Nadella,,,
e36373c5-9c3b-41cf-be58-63f2dcfa9d7b,Satya Nadella,,,
5d261a7e-ed52-4376-934b-35c2f9a0b39a,Satya Nadella,,,
0ae377d1-4932-48e6-8bd1-b87f5669429e,Satya Nadella,,,
45d959b7-430f-47fe-84fa-92db16aed1a0,Indra Nooyi,,,
a0ba2b9b-7e70-43b9-8bd7-e3c7821349ee,Indra Nooyi,,,
74af9e3e-a1c5-43d4-9fb3-2273be3189ab,Indra Nooyi,,,
a96064a8-059f-433d-9fdc-baa9d3bece40,Indra Nooyi,,,
4c446bf0-c561-4694-a1e2-2cacae907a87,Indra Nooyi,,,
571ebbb6-c063-4093-bb88-a970d9ad7147,Indra Nooyi,,,
77acce13-cffd-4907-81f7-f34895e21c12,Indra Nooyi,,,
34038415-bd1c-4168-8df0-0f09ccbe1665,Indra Nooyi,,,
6577c3ff-c770-40b0-801e-d451d86b351c,Indra Nooyi,,,
430186b8-15eb-4e6d-ad08-3fa25264b9ca,Indra Nooyi,,,
768dfe94-f1a9-4c37-972c-30e842fed49e,Indra Nooyi,,,
57e0fffe-ed99-402f-a2b2-ce82dca2fd7c,Indra Nooyi,,,
1607243d-76fc-4958-aa18-2f8d41500524,Indra Nooyi,,,
d90bef27-b630-408a-94a4-cd6d81b8de82,Indra Nooyi,,,
64e6f812-9a3f-45a0-ae60-715e2061c67b,Indra Nooyi,,,
96ee5969-c8b8-40e1-9343-2852c2202776,Indra Nooyi,,,
734e9868-4ca9-4581-a554-103acec73bc2,Arianna Huffington,,,
f56fa1dd-8791-4c56-93b1-ecda51f1c372,Arianna Huffington,,,
342f4b8b-b3a1-4aa8-b317-c1eec2e24bb7,Arianna Huffington,,,
c5fb74cc-bbab-446d-bddf-a3325dcc8a06,Arianna Huffington,,,
606b1268-4acc-4098-a50a-598fd8cfcce3,Arianna Huffington,,,
475e3a3e-f926-4b8c-aeb7-953b0f145369,Arianna Huffington,,,
be9d14e1-bd7b-41b8-b01d-1aeff8495cba,Arianna Huffington,,,
74b477e9-7bc4-4749-a58e-09906a304c66,Arianna Huffington,,,
a284f644-33b7-45c3-b374-0cdf8439ee99,Arianna Huffington,,,
797e760d-9180-4fee-96dd-c74ba3c095e0,Arianna Huffington,,,
9b4a9bd5-6beb-4544-bb1b-b4e1fa45559d,Arianna Huffington,,,
6d124504-b1b9-4b5b-b743-845f9714af9d,Arianna Huffington,,,
5fa0bfb9-a825-4d07-aad6-9b0ed3e81ed9,Arianna Huffington,,,
12aa435e-19e0-4530-8935-99d9c526f812,Arianna Huffington,,,
8bcffbcb-c4e4-4e8e-99f7-453f7608118e,Arianna Huffington,,,
3e9c1368-308b-4455-99b3-64ec4c3f36a3,Marissa Mayer,,,
5e59b146-2656-4a7b-b653-728bb818c72b,Marissa Mayer,,,
7282a684-7922-411d-9f81-b8088d088574,Daymond John,,,
04ca0391-1b40-4ec9-b8c8-6cb0b9a62a6f,Daymond John,,,
73f96885-da26-4a3b-b2e9-82478991c4e6,Daymond John,,,
8a468f32-da98-4963-ad88-9b24b71e7c8a,Daymond John,,,
f7f3477b-8b1f-4ad2-8f8e-6f2998165db6,Daymond John,,,
592c955d-1f4d-4ddc-9ec7-bb0cc150f457,Daymond John,,,
d99c53ae-ee92-42b4-8eb3-6b1159b64f64,Daymond John,,,
ba516a98-bf0f-4d8a-ab4d-bb374d5594ad,Daymond John,,,
13adfb8a-c86f-455c-904c-81b12c844548,Eric Schmidt,,,
a8238cf1-3dc7-4a62-be43-cc9033079ef5,Eric Schmidt,,,
